RS_Num,River,ReleaseSite,ReleaseDate,Species,Length,Weight,TagID,TagSize,Event,PredationDate,UTM_X,UTM_Y,Comments
3,Colorado River,Upper River Run,10/5/2020,MTS,114,23,226001581386,12,Predation,7/15/2021,416965,4439369,NA
2,Fraser River,Fraser River Ranch,9/1/2020,RBT,89,7,226001581672,32,Predation,9/17/2020,412489,4439413,NA
7,Colorado River,Hitching Post,5/4/2021,RBT,262,200,230000142560,32,Predation,4/16/2022,414375,4440241,NA
3,Colorado River,Upper River Run,10/5/2020,LOC,178,56,230000228575,32,Predation,10/27/2020,416965,4439369,NA
9,Colorado River,Chimney Rock Below Island,5/4/2021,LOC,172,46,230000272181,32,Predation,5/20/2021,412489,4439413,NA
16,Colorado River,Dark Timber Above Railroad,5/4/2021,LOC,198,78,230000272516,32,Predation,4/2/2022,412489,4439413,NA
9,Colorado River,Chimney Rock Below Island,5/6/2021,LOC,187,85,230000142699,32,Predation,5/13/2022,414375,4440241,NA
3,Colorado River,Upper River Run,10/5/2020,LOC,183,54,230000228478,32,Predation,5/31/2021,416965,4439369,NA
15,Colorado River,Kinney Creek,5/4/2021,LOC,191,71,230000272575,32,Predation,4/10/2022,414375,4440241,NA
1,Fraser River,Kaibab Park,9/2/2020,LOC,177,55,230000228275,32,Predation,4/8/2021,416965,4439369,NA
1,Fraser River,Kaibab Park,9/2/2020,RBT,168,50,230000228314,32,Predation,4/8/2021,416965,4439369,NA
4,Colorado River,Lower River Run,10/5/2020,LOC,178,60,230000228346,32,Predation,6/13/2021,416965,4439369,NA
9,Colorado River,Chimney Rock Below Island,5/4/2021,LOC,195,105,230000272048,32,Predation,5/20/2021,416965,4439369,NA
18,Colorado River,Shefiff Ranch Middle Field,5/4/2021,LOC,310,287,230000272969,32,Release,5/18/2021,409595,4438221,NA
18,Colorado River,Shefiff Ranch Middle Field,5/4/2021,LOC,180,54,230000272900,32,Release,4/15/2022,409595,4438221,NA
7,Colorado River,Hitching Post,10/6/2020,LOC,165,38,230000228639,32,Release,4/4/2022,414476,4440260,NA
1,Fraser River,Kaibab Park,8/31/2022,LOC,158,43,230000143277,32,Release,4/7/2024,420626,4437179,NA
